Title,Journal / Conference Publication,Year of Publication,Authors,Country,Focus of Work,Wtype,lat,lon,,S.No.,Year,"Conference , Journal",Author(s),WQI,Country,,,,,,,Type of review,Details,,Keyword 1,Keyword 2,Keyword 3,Keyword 4 ,Keyword 5,Focus,Year,Country,,Title,Access to Publication,Year of Publication,Authors,Country,Keywords
Towards sustainable Water Supply : Schematic Development of Big Data Collection Using Internet of Things,Procedia Computer Science,2015,"Dan Koo, Kalyan Piratla, John Mathews",USA,Water Resources Management,WRM,30.4874,-95.987228,,2,2015,ScienceDirect (Procedia),Koo et al.,,USA,,,,NA,,,,"Description of Advanced Techonology Implementation : Automated Meter Reading (AMR), IoT, BigData and their applications towards sustainable water supply (Pipe Condition Assessment) - saving water resources and energy",,Big Data ,Water Distribution ,IoT,Water Sustainability,NA,Water Resource Management,2015,USA,,Towards sustainable Water Supply : Schematic Development of Big Data Collection Using Internet of Things,https://www.researchgate.net/publication/283172537_Towards_Sustainable_Water_Supply_Schematic_Development_of_Big_Data_Collection_Using_Internet_of_Things_IoT,2015,"Dan Koo, Kalyan Piratla, John Mathews",USA,"Big data, Water Distribution System, Internet of Things, Water Sustainability"
Water Quality Monitoring Strategies  A Review and Future Perspectiv,Science of the Total Environment,2016,"S. Behmel, M. DAmour, R. Ludwig, AM.J. Rodriguez",Canada,Water Quality Monitoring,WQM,-14.235,-51.9253,,24,2016, Elsevier Journal,Behmel et al.,,Canada,,,,,,,"This review presents an inventory of the information, approaches and tools placed at the disposal of watershed managers tasked with the objective that how the available information, approaches and tools could be integarted in a more holistic and evolvable solution. ","The main motive of this article is to outline various use cases a watershed manager has to address to plan or optimize a Water  Quality Monitoring Program from the challenge of identifying monitoring objectives, selecting sampling sites and water quality parameters, identifying sampling frequencies, considering logistics and resources to the implementation of actions based on information acquired through the Water Quality Monitoring Program.",,Water Quality Monitoring Programs,Intelligent Decision Support System,Participative Approaches,NA,NA,Water Quality Monitoring,2016,Canada,,Water Quality Monitoring Strategies – A Review and Future Perspectiv,https://www.sciencedirect.com/science/article/abs/pii/S0048969716314243,2016,"S. Behmel, M. DAmour, R. Ludwig, AM.J. Rodriguez",Canada,"Water quality monitoring programs, Intelligent decision support system, Participative approaches"
Managing the Water Distribution Network with a Smart Water Grid,Smart Water,2016,Panj Ju Khuan,Singapore,Water Resources Management,WRM,35.1264,33.4299,,18,2016, Springer Journal,Khuan,,Singapore,,,,,,,"This review presents various key aspects of Smart Water Grid System for PUB(Public Utilities Board), Singapore with respect to water distribution (asset management, leak management, water quality monitoring) and customers' (automated meter reading and water conservation) for the supply of potable water."," For each key aspect of Smart Water Grid System, the presented study focuses on the challenges, current technology, PUB's experience with techonology and identified gaps and the technology roadmap. ",,Smart Water Grid,Water Management,Water Infrastructure,Smart Technology,ICT,Water Resource Management,2016,Singpore,,Managing the Water Distribution Network with a Smart Water Grid,https://smartwaterjournal.springeropen.com/articles/10.1186/s40713-016-0004-4,2016,Panj Ju Khuan,Singapore,"Smart Water Grid, Water management, Water infrastructure, Smart technology, ICT, Wireless sensor network, PUB, Singapore"
Big Data and Informatics,Journal of Hydroinformatics,2016,Yiheng Chen and Dawei Han,UK,Water Resources Management,WRM,10,8.67,,8,2016, IWA Journal,Chen and Han,,UK,,,,,,,"Types of Data Usage, Cloud Computing and correlation between data sets","This study reviews all the challenges involved with big data, i.e. data sharing, correlation between data sets. Also, the area of precipitation estimation is explored in which global precipitation data is collected from multiple sources .",,Big Data,Data Fusion,Hydroinformatics,Precipitation Estimates,NA,Water Resource Management,2016,UK,,Big Data and Informatics,https://iwaponline.com/jh/article/18/4/599/30029/Big-data-and-hydroinformatics,2016,Yiheng Chen and Dawei Han,UK,"Big data, Data fusion, Hydroinformatics, Precipitation estimates"
Wireless Sensor Networks: A Survey on Monitoring Water Quality,Journal of Applied Research and Technology,2017,"Mompoloki Pule, Abid Yahya, Joseph Chuma",Botswana,Water Quality Monitoring,WQM,-22.33,24.68,,4,2017, ScienceDirect Journal,Pule et al.,,Botswana,,,,,,,,"Comparison of proposed node architectures for WQM with coverage and connectivity, energy and data security concerns, Various considerations of WSN standards.",,Real-Time,Remote ,Water Quality Monitoring,Wireless Sensor Networks,NA,Water Quality Monitoring,2017,Botswana,,Wireless Sensor Networks: A Survey on Monitoring Water Quality,https://www.sciencedirect.com/science/article/pii/S1665642317301037,2017,"Mompoloki Pule, Abid Yahya, Joseph Chuma",Botswana,"Real-time, Remote, Water quality monitoring, Wireless sensor networks"
Internet of Things enabled Real Time Water Quality Monitoring System,Smart Water,2017,"S. Geetha, S. Gouthami",India,Water Quality Monitoring,WQM,18.9667,72.8333,,5,2017, Springer Journal,Geetha and Gouthami,"pH, DO, ORP, Temperature, Turbidity, Conductivity, Water level, Flow sensing, Air temperature, Relative humidity, Presence of Organic Compounds, Chlorine Concentration, Chlorophyll",India,Ground Water,Field Test,India,"Web Based UI, Mobile Phone",Ubidots,"ph, turbidity, conductivity, temperature, water level + T1 CC3200 + ARM MCU",ENERGIA IDE,"A detailed survey on tools and techniques employed in existing water qulaity monitoring systems, A low cost, less complex water quality monitoring system is proposed.",,Water Quality,Smart Solution,Internet of Things,Wi-Fi,Cloud Storage,Water Quality Monitoring,2017,India,,Internet of Things enabled Real Time Water Quality Monitoring System,https://smartwaterjournal.springeropen.com/articles/10.1186/s40713-017-0005-y,2017,"S. Geetha, S. Gouthami",India,"Water quality, Smart solution, Internet of things, Wi-Fi, Cloud storage"
Water Quality Monitoring Using Wireless Sensor Networks: Current Trends and Future Research Directions,ACM Transactions on Sensor Networks,2017,"Kofi Sarpong Adu-Manu, Cristiano Tapparello, Wendi Heinzelman, Ferdinand Apietu Katrsriku, Jamal Deen Abdulai",USA,Water Quality Monitoring,WQM,29.706043,-91.206917,,1,2017,IEEE Conference,Kang et al.,Comprehensive Water Quality Evaluation Index comprising First and Second class indices is presented,USA,,,,NA,,,Articles based on Machine Learning Models are compared and presented in tabular form ,The paper classifies and compares the applied big data analytics approaches and big data perception models for water quality assessment. It presents machine learning models and techniques as well.,,Wireless Sensor Networks,Environmental Monitoring,Water Quality ,Sensors,Actuators,Water Quality Monitoring,2017,USA,,Water Quality Monitoring Using Wireless Sensor Networks: Current Trends and Future Research Directions,https://dl.acm.org/doi/pdf/10.1145/3005719,2017,"Kofi Sarpong Adu-Manu, Cristiano Tapparello, Wendi Heinzelman, Ferdinand Apietu Katrsriku, Jamal Deen Abdulai",USA,"Wireless sensor networks, Environmental monitoring, Water quality, Sensors and actuators"
Data-Driven Water Quality Analysis and Prediction: A Survey,IEEE Conference,2017,"Gaganjot Kaur Kang, Jerry Zayo Gao, Gang Xie",USA,Water Quality Monitoring,WQM,39.779823,-98.787064,,23,2017,ACM Transaction,Adu-Manu et al.,,USA,,,,,,,"This article desrcibes various research and implementations as well as the different communication and network architectures, energy considerations and, data processing methods, water quality measurements and other current developments  in Water Quality Monitoring Systems while describing a framework for WSN-based WQM system at the same time.","This aricles reviews evolution of Water Quality Monitoring systems from manual, lab-based approaches to current state-of-the-art in the design and implementation of WSN based Water Quality Monitoring Systems. The current Water Quality Parameters along with various in situ sensor devices that are capable of sensing these parameters have been discussed.",,Water Quality Evaluation,Big Data Analytics,Data-driven water quality evaluation,Water Quality Prediction,NA,Water Quality Monitoring,2017,USA,,Data-Driven Water Quality Analysis and Prediction: A Survey,https://ieeexplore.ieee.org/document/7944943,2017,"Gaganjot Kaur Kang, Jerry Zayo Gao, Gang Xie",USA,"Water quality evaluation, Big data analytics, Data-driven water quality evaluation, Water quality prediction"
IoT Technology for Smart Water System,IEEE Conference,2018,Varsha Radhakrishnan and Wenyan Wu,UK,Water Quality Monitoring,WQM,23.8859,45.0792,,10,2018, IEEE Conference,Radhakrishnan and Wu ,,UK,,,,,,,"Architecture, Applications and Need of IoT in Water Management Systems","This study suggests some solutions by referring to the recent or upcoming researches which could resolve the issues and integrate them to produce a more cost and energy efficient smart water system. It presents comparisons of  commerically available water quality sensors and the measuring parameters, energy harvesting techniques against energy produced and cost.",,Internet of Things,Wireless Sensor Network,RFID,Artificial Intelligence,Water Distribution System,Water Quality Monitoring,2018,United Kingdom,,IoT Technology for Smart Water System,https://www.researchgate.net/publication/326156620_IoT_Technology_for_Smart_Water_System,2018,Varsha Radhakrishnan and Wenyan Wu,UK,"Internet of Things, WSN, RFID, AI, Water distribution system."
The Selection of Design Methods for River Water Quality Monitoring Networks: A Review,Environmental Earth Sciences,2019,"Thuy Hoang Nguyen, Bjorn, Hiroshan Hettiarachchi1, Serena Caucci1, Peter Krebs",Germany,Water Quality Monitoring,WQM,51.2,10.5,,15,2019,Springer Journal,Nguyen et al.,,Germany,,,,,,,Most commonly used methods to design WQM networks for rivers that have been reported in the current literature have been assembled ,A systematic review to assess the existing                                                                                                                                            methods used in river WQM network design with a focus on very large to large rivers rather than medium to small rivers. It was concluded that data availability and expertise seem to affect the selection of design methods rather than river size and the extent of the monitoring networks.,,River Size,Land Use,Sampling Locations,Water Quality Parameters,Sampling Frequencies,Water Quality Monitoring,2019,Germany,,The Selection of Design Methods for River Water Quality Monitoring Networks: A Review,https://link.springer.com/article/10.1007/s12665-019-8110-x,2019,"Thuy Hoang Nguyen, Björn, Hiroshan Hettiarachchi1, Serena Caucci1, Peter Krebs",Germany,"River size , Land use,  Sampling locations,  Water quality parameters, Sampling frequencies, Systematic literature search"
